网址,与用户建立连接所使用的加密算法,有效期,证书签名算法,颁发者完整名称,被颁发人完整名称,证书持有者公钥算法,证书持有者可选名称
https://pao.ust.hk/index.php/en_us/home,"The connection to this site is encrypted and authenticated using TLS 1.2 (a strong protocol), ECDHE_RSA with P-256 (a strong key exchange), and AES_128_GCM (a strong cipher).",?2018?年?9?月?18?日 8:00:00 ?2020?年?9?月?18?日 7:59:59,sha256RSA,"CN = COMODO RSA Domain Validation Secure Server CA
O = COMODO CA Limited
L = Salford
S = Greater Manchester
C = GB","CN = *.ust.hk
OU = PositiveSSL Wildcard
OU = Domain Control Validated", RSA 加密,"DNS Name=*.ust.hk
DNS Name=ust.hk
"
https://maec.ust.hk/,"The connection to this site is encrypted and authenticated using TLS 1.2 (a strong protocol), ECDHE_RSA with P-256 (a strong key exchange), and AES_128_GCM (a strong cipher).",?2018?年?9?月?18?日 8:00:00 ?2020?年?9?月?18?日 7:59:59,sha256RSA,"CN = COMODO RSA Domain Validation Secure Server CA
O = COMODO CA Limited
L = Salford
S = Greater Manchester
C = GB","CN = *.ust.hk
OU = PositiveSSL Wildcard
OU = Domain Control Validated", RSA 加密,"DNS Name=*.ust.hk
DNS Name=ust.hk
"
http://www.mcpf.ust.hk/,,,,,,,
http://www.pskl.ust.hk/,,,,,,,
http://www.pskl.ust.hk/,,,,,,,
http://cfp.ust.hk/cgi-bin/cfp/eng/index.php,,,,,,,
http://wfa.ust.hk/,,,,,,,
https://iao.ust.hk/,"The connection to this site is encrypted and authenticated using TLS 1.2 (a strong protocol), ECDHE_RSA with P-256 (a strong key exchange), and AES_128_GCM (a strong cipher).",?2018?年?9?月?18?日 8:00:00 ?2020?年?9?月?18?日 7:59:59,sha256RSA,"CN = COMODO RSA Domain Validation Secure Server CA
O = COMODO CA Limited
L = Salford
S = Greater Manchester
C = GB","CN = *.ust.hk
OU = PositiveSSL Wildcard
OU = Domain Control Validated", RSA 加密,"DNS Name=*.ust.hk
DNS Name=ust.hk
"
http://qa.ust.hk/,,,,,,,
http://staff.ust.hk/,,,,,,,
https://worldrecord.ust.hk/,"The connection to this site is encrypted and authenticated using TLS 1.2 (a strong protocol), ECDHE_RSA with P-256 (a strong key exchange), and AES_128_GCM (a strong cipher).",?2018?年?9?月?18?日 8:00:00 ?2020?年?9?月?18?日 7:59:59,sha256RSA,"CN = COMODO RSA Domain Validation Secure Server CA
O = COMODO CA Limited
L = Salford
S = Greater Manchester
C = GB","CN = *.ust.hk
OU = PositiveSSL Wildcard
OU = Domain Control Validated", RSA 加密,"DNS Name=*.ust.hk
DNS Name=ust.hk
"
